p_red_cards,rater1,rater2,height,weight,position
0.0,0.0,0.0,184.0,81.0,Defender
0.006289308176100629,0.25,0.25,180.0,80.0,Defender
0.0,0.0,0.25,186.0,75.0,Midfielder
0.004366812227074236,0.25,0.25,186.0,80.0,Defender
0.0,0.0,0.25,185.0,80.0,Defender
0.004830917874396135,0.25,0.25,186.0,77.0,Attacker
0.0036231884057971015,0.25,0.25,180.0,75.0,Midfielder
0.0,0.25,0.25,195.0,90.0,Goalkeeper
0.01639344262295082,0.0,0.25,190.0,90.0,Goalkeeper
0.0,0.0,0.25,194.0,91.0,Goalkeeper
0.0,0.0,0.25,194.0,92.0,Defender
0.0036496350364963502,0.25,0.25,178.0,65.0,Defender
0.0,0.0,0.0,184.0,75.0,Attacker
0.0,0.25,0.5,183.0,70.0,Attacker
0.011111111111111112,0.0,0.0,173.0,63.0,Defender
0.0,0.0,0.0,186.0,77.0,Midfielder
0.006329113924050633,0.0,0.25,185.0,80.0,Attacker
0.005952380952380952,0.25,0.0,184.0,76.0,Defender
0.003134796238244514,0.25,0.25,185.0,84.0,Goalkeeper
0.0032310177705977385,0.25,0.25,184.0,84.0,Attacker
0.0,0.25,0.25,183.0,81.0,Defender
0.0,0.25,0.25,179.0,71.0,Midfielder
0.008403361344537815,0.0,0.0,186.0,72.0,Midfielder
0.0,0.0,0.25,185.0,77.0,Midfielder
0.009852216748768473,0.0,0.25,176.0,70.0,Defender
0.021739130434782608,1.0,1.0,177.0,71.0,Defender
0.006896551724137931,0.0,0.25,203.0,96.0,Goalkeeper
0.008368200836820083,0.0,0.25,178.0,76.0,Midfielder
0.0,0.25,0.25,186.0,88.0,Goalkeeper
0.006024096385542169,0.25,0.5,177.0,73.0,Midfielder
0.003703703703703704,0.25,0.25,178.0,72.0,Defender
0.002932551319648094,0.25,0.25,178.0,81.0,Midfielder
0.0051813471502590676,0.0,0.25,187.0,81.0,Defender
0.0,0.25,0.25,178.0,65.0,Attacker
0.007692307692307693,0.25,0.25,185.0,80.0,Attacker
0.012345679012345678,0.0,0.0,165.0,65.0,Midfielder
0.006872852233676976,0.25,0.25,190.0,84.0,Defender
0.03178484107579462,0.0,0.0,177.0,68.0,Defender
0.0,0.25,0.5,178.0,70.0,Defender
0.008547008547008548,0.0,0.0,188.0,79.0,Defender
0.0,0.0,0.0,178.0,70.0,Attacker
0.0,0.0,0.0,194.0,90.0,Goalkeeper
0.004291845493562232,0.0,0.0,184.0,78.0,Defender
0.008333333333333333,0.0,0.0,178.0,71.0,Midfielder
0.0,0.0,0.25,174.0,68.0,Midfielder
0.0034129692832764505,0.5,0.25,173.0,64.0,Defender
0.0,0.0,0.0,171.0,73.0,Defender
0.0,0.25,0.25,179.0,74.0,Midfielder
0.011627906976744186,0.0,0.0,182.0,77.0,Goalkeeper
0.0,0.25,0.25,196.0,85.0,Goalkeeper
0.006896551724137931,0.25,0.5,187.0,82.0,Attacker
0.0033112582781456954,0.25,0.25,187.0,75.0,Defender
0.003355704697986577,0.0,0.0,174.0,73.0,Midfielder
0.0,0.0,0.0,189.0,84.0,Goalkeeper
0.0,0.5,0.5,184.0,85.0,Attacker
0.01020408163265306,0.25,0.25,182.0,79.0,Midfielder
0.010452961672473868,0.25,0.5,184.0,79.0,Defender
0.0,0.5,0.75,179.0,77.0,Midfielder
0.0035211267605633804,0.0,0.0,186.0,76.0,Defender
0.004629629629629629,0.75,0.75,188.0,76.0,Attacker
0.008385744234800839,0.25,0.25,197.0,95.0,Defender
0.0,0.0,0.0,181.0,74.0,Defender
0.00546448087431694,0.5,0.5,184.0,75.0,Midfielder
0.0,0.25,0.25,181.0,77.0,Attacker
0.013793103448275862,0.75,0.75,173.0,74.0,Defender
0.0,0.75,1.0,185.0,73.0,Attacker
0.006289308176100629,0.5,0.5,188.0,87.0,Defender
0.004310344827586207,0.25,0.25,183.0,80.0,Midfielder
0.0,1.0,1.0,180.0,73.0,Attacker
0.002577319587628866,0.0,0.0,183.0,83.0,Midfielder
0.006756756756756757,0.25,0.5,180.0,83.0,Midfielder
0.00784313725490196,0.0,0.0,187.0,85.0,Defender
0.0,0.75,0.75,180.0,75.0,Defender
0.0,0.5,0.5,181.0,72.0,Attacker
0.006369426751592357,0.0,0.0,189.0,82.0,Goalkeeper
0.0,0.0,0.0,177.0,71.0,Defender
0.0,0.75,1.0,173.0,70.0,Midfielder
0.0,0.0,0.25,180.0,66.0,Midfielder
0.0,0.0,0.0,185.0,73.0,Defender
0.007246376811594203,0.0,0.0,188.0,82.0,Defender
0.002564102564102564,0.25,0.25,199.0,77.0,Defender
0.004464285714285714,0.0,0.0,175.0,69.0,Defender
0.0044444444444444444,0.25,0.25,170.0,67.0,Midfielder
0.0,0.0,0.0,191.0,84.0,Goalkeeper
0.009025270758122744,0.25,0.25,175.0,69.0,Attacker
0.004739336492890996,0.75,0.75,194.0,88.0,Goalkeeper
0.0,0.0,0.25,187.0,77.0,Defender
0.008928571428571428,1.0,1.0,182.0,74.0,Attacker
0.0,0.0,0.0,190.0,82.0,Goalkeeper
0.0,0.25,0.25,182.0,82.0,Defender
0.008086253369272238,0.5,0.25,175.0,68.0,Midfielder
0.0048543689320388345,0.0,0.25,180.0,76.0,Attacker
0.0,0.0,0.25,178.0,72.0,Midfielder
0.0,0.0,0.25,183.0,80.0,Midfielder
0.009389671361502348,0.0,0.0,188.0,84.0,Defender
0.004081632653061225,1.0,1.0,190.0,82.0,Attacker
0.0,0.5,0.5,184.0,85.0,Defender
0.0,0.25,0.25,188.0,79.0,Defender
0.010309278350515464,0.0,0.0,184.0,81.0,Midfielder
0.004484304932735426,1.0,1.0,174.0,74.0,Attacker
0.0025,0.25,0.25,173.0,73.0,Midfielder
0.004273504273504274,0.25,0.5,188.0,85.0,Goalkeeper
0.005390835579514825,0.25,0.25,194.0,89.0,Goalkeeper
0.0051813471502590676,0.25,0.25,161.0,60.0,Midfielder
0.0,0.25,0.25,174.0,67.0,Attacker
0.010958904109589041,0.25,0.25,184.0,83.0,Defender
0.0,0.25,0.25,177.0,74.0,Defender
0.017241379310344827,0.25,0.25,189.0,81.0,Attacker
0.019444444444444445,0.25,0.25,185.0,75.0,Defender
0.0,0.25,0.5,174.0,76.0,Attacker
0.01,0.0,0.25,196.0,89.0,Goalkeeper
0.012121212121212121,0.25,0.25,188.0,88.0,Defender
0.0,0.25,0.25,179.0,77.0,Midfielder
0.0,0.0,0.25,180.0,75.0,Defender
0.0017241379310344827,0.25,0.25,188.0,79.0,Attacker
0.0,0.75,0.75,183.0,77.0,Defender
0.003215434083601286,0.5,0.5,174.0,70.0,Midfielder
0.005504587155963303,1.0,1.0,183.0,78.0,Attacker
0.0,0.75,0.75,182.0,71.0,Defender
0.008130081300813009,1.0,1.0,187.0,75.0,Attacker
0.0,0.25,0.25,189.0,83.0,Defender
0.0,0.0,0.0,188.0,78.0,Defender
0.009174311926605505,0.25,0.25,194.0,89.0,Goalkeeper
0.010471204188481676,0.25,0.25,180.0,69.0,Defender
0.010638297872340425,0.75,1.0,188.0,86.0,Attacker
0.005434782608695652,0.5,0.25,181.0,81.0,Defender
0.015151515151515152,0.25,0.25,175.0,71.0,Midfielder
0.007633587786259542,0.25,0.25,188.0,87.0,Goalkeeper
0.0,0.25,0.25,180.0,73.0,Midfielder
0.009708737864077669,0.0,0.0,179.0,78.0,Defender
0.0030581039755351682,0.25,0.25,170.0,69.0,Attacker
0.005376344086021506,0.0,0.0,180.0,77.0,Midfielder
0.0,0.25,0.25,193.0,84.0,Attacker
0.0,0.0,0.0,176.0,72.0,Attacker
0.0,0.0,0.0,185.0,90.0,Attacker
0.0,0.0,0.25,180.0,73.0,Defender
0.013513513513513514,0.75,0.75,177.0,74.0,Midfielder
0.0,0.75,0.75,176.0,77.0,Attacker
0.004219409282700422,0.0,0.0,179.0,76.0,Midfielder
0.0,0.0,0.0,184.0,79.0,Midfielder
0.006993006993006993,0.25,0.25,189.0,90.0,Defender
0.015444015444015444,0.5,0.5,179.0,78.0,Midfielder
0.011235955056179775,0.25,0.25,185.0,80.0,Defender
0.011111111111111112,1.0,1.0,190.0,75.0,Attacker
0.0,1.0,1.0,183.0,78.0,Defender
0.008602150537634409,0.25,0.25,170.0,68.0,Midfielder
0.0,0.5,0.5,184.0,82.0,Midfielder
0.0,0.0,0.25,183.0,74.0,Defender
0.0,0.25,0.5,190.0,83.0,Attacker
0.0087527352297593,0.75,0.75,186.0,75.0,Defender
0.019230769230769232,0.0,0.0,183.0,74.0,Defender
0.0,0.0,0.25,177.0,72.0,Attacker
0.0,0.0,0.25,175.0,65.0,Midfielder
0.007874015748031496,0.0,0.0,183.0,73.0,Midfielder
0.0,0.75,0.75,183.0,80.0,Defender
0.003215434083601286,0.25,0.0,174.0,71.0,Midfielder
0.010075566750629723,0.25,0.25,173.0,71.0,Attacker
0.011764705882352941,0.25,0.25,169.0,59.0,Midfielder
0.014705882352941176,0.0,0.0,196.0,93.0,Goalkeeper
0.0,0.25,0.25,178.0,64.0,Defender
0.0199203187250996,0.5,0.5,169.0,70.0,Attacker
0.020833333333333332,0.0,0.25,188.0,89.0,Goalkeeper
0.003745318352059925,0.25,0.25,176.0,68.0,Midfielder
0.0,0.0,0.25,180.0,73.0,Attacker
0.004132231404958678,0.5,0.25,179.0,70.0,Defender
0.02127659574468085,0.0,0.0,172.0,65.0,Defender
0.0,0.5,0.5,176.0,69.0,Midfielder
0.01098901098901099,0.0,0.0,177.0,74.0,Defender
0.013114754098360656,0.0,0.25,184.0,73.0,Midfielder
